"","date","year","school","school_id","party_s","party_rv","party_kf","party_nb","party_sf","party_vegan","party_la","party_kd","party_m","party_df","party_v","party_dd","party_el","party_alt","blank","invalid","not_voted","valid","electorate","municipality","municipality_id","zip_code","region","region_id"
"1","2015-01-29",2015,"Aabybro Efterskole",NA,3,2,3,NA,4,NA,3,0,NA,1,25,NA,2,NA,0,0,132,43,175,"Jammerbugt Kommune",849,9440,"Region Nordjylland",1081
"2","2015-01-29",2015,"Aakjærskolen",NA,8,2,17,NA,4,NA,12,1,NA,1,20,NA,17,NA,1,0,27,82,110,"Skive Kommune",779,7800,"Region Midtjylland",1082
"3","2015-01-29",2015,"Aalborg Friskole",NA,9,3,0,NA,14,NA,0,0,NA,0,6,NA,6,NA,2,0,8,38,48,"Aalborg Kommune",851,9000,"Region Nordjylland",1081
"4","2015-01-29",2015,"Aalbæk Skole",NA,3,2,0,NA,0,NA,3,2,NA,5,8,NA,0,NA,1,1,5,23,30,"Frederikshavn Kommune",813,9982,"Region Nordjylland",1081
"5","2015-01-29",2015,"Aalykkeskolen",NA,14,12,0,NA,0,NA,1,1,NA,1,4,NA,3,NA,0,0,5,36,41,"Kolding Kommune",621,6000,"Region Syddanmark",1083
"6","2015-01-29",2015,"Aarupskolen",NA,12,11,11,NA,9,NA,12,0,NA,7,33,NA,1,NA,0,2,5,96,103,"Assens Kommune",420,5560,"Region Syddanmark",1083
"7","2015-01-29",2015,"Åbenrå Friskole",NA,5,3,1,NA,2,NA,2,1,NA,3,13,NA,3,NA,1,0,8,33,42,"Aabenraa Kommune",580,6200,"Region Syddanmark",1083
"8","2015-01-29",2015,"Absalons Skole",NA,6,34,15,NA,23,NA,9,1,NA,0,18,NA,4,NA,0,0,30,110,140,"Roskilde Kommune",265,4000,"Region Sjælland",1085
"9","2015-01-29",2015,"Åbybro Friskole",NA,4,2,3,NA,3,NA,10,0,NA,1,7,NA,0,NA,1,0,4,30,35,"Jammerbugt Kommune",849,9440,"Region Nordjylland",1081
"10","2015-01-29",2015,"Ådalens Privatskole",NA,17,2,35,NA,1,NA,2,0,NA,3,11,NA,1,NA,1,0,11,72,84,"Ishøj Kommune",183,2635,"Region Hovedstaden",1084
